celltype,genes,res,gene_symbol
AST,12,0.7967250375756003,C1orf159
AST,20,0.7515788240966352,UBE2J2
AST,22,0.7342075451025523,ACAP3
AST,29,0.8493676053614309,CCNL2
AST,35,0.7060801585771592,ATAD3B
AST,40,0.7375985922484037,MIB2
AST,43,0.725485086139877,SLC35E2B
AST,45,0.7300780833682583,NADK
AST,46,0.8983113897831132,GNB1
AST,52,0.7057334510758475,FAAP20
AST,53,0.8604455083055941,SKI
AST,63,0.9812195253632521,PRDM16
AST,72,0.7999366361958437,CEP104
AST,78,0.8128285310792925,NPHP4
AST,86,0.7440975655934526,ACOT7
AST,91,0.717354924325502,NOL9
AST,94,0.7939280839430747,KLHL21
AST,97,0.8045263999618703,DNAJC11
AST,98,0.9537912774748829,CAMTA1
AST,100,0.9214424110565236,PER3
AST,103,0.7232768528184478,PARK7
AST,104,0.8119917307706247,ERRFI1
AST,106,0.9395647754398878,RERE
AST,107,0.9100541232646906,ENO1
AST,113,0.782259451775114,H6PD
AST,115,0.9135663530029433,SLC25A33
AST,119,0.8548719511036346,CLSTN1
AST,120,0.8488204590869046,CTNNBIP1
AST,123,0.7213924653426272,NMNAT1
AST,125,0.9028358954587452,UBE4B
AST,126,0.9442762921768321,KIF1B
AST,127,0.7155668887462786,PGD
AST,129,0.849932883324948,PEX14
AST,132,0.7971236532647923,TARDBP
AST,135,0.8300258239357525,EXOSC10
AST,136,0.8696107548700447,MTOR
AST,140,0.7442406098671677,DISP3
AST,141,0.8200496001750321,FBXO2
AST,149,0.750629542510905,CLCN6
AST,158,0.9284645656660494,VPS13D
AST,159,0.8734529453623887,DHRS3
AST,164,0.8341529808889921,PRDM2
AST,165,0.8133092585385631,KAZN
AST,167,0.7659299794532364,TMEM51
AST,174,0.7521429411930185,CASP9
AST,175,0.816561838316949,DNAJC16
AST,177,0.7436165829294423,DDI2
AST,178,0.840066368563998,PLEKHM2
AST,183,0.9206538499982451,SPEN
AST,191,0.907842880708883,FBXO42
AST,192,0.7356558877612259,SZRD1
AST,195,0.7616527347403494,NBPF1
AST,196,0.7486196334179758,CROCC
AST,199,0.8016374081666224,SDHB
AST,200,0.8693827827708469,PADI2
AST,205,0.9421103736346141,ARHGEF10L
AST,209,0.802874501219919,ALDH4A1
AST,210,0.7960192898226746,IFFO2
AST,211,0.8721299923066903,UBR4
AST,216,0.8681457268281259,CAPZB
AST,219,0.7223469845745507,TMCO4
AST,220,0.7140051252340471,OTUD3
AST,221,0.8079128180439923,PLA2G5
AST,227,0.7588157648331386,CAMK2N1
AST,236,0.9015580587037102,HP1BP3
AST,237,0.9138412770347237,EIF4G3
AST,238,0.9196416439107165,ECE1
AST,242,0.8621596846745225,USP48
AST,245,0.7537198154794305,CDC42
AST,247,0.7421704825039382,ZBTB40
AST,252,0.8018156670377816,KDM1A
AST,253,0.8708090947725953,LUZP1
AST,256,0.8233147777165261,HNRNPR
AST,259,0.8103173003222921,TCEA3
AST,260,0.9281674631513918,ASAP3
AST,268,0.7499352386853173,HMGCL
AST,272,0.8196473133668537,SRSF10
AST,278,0.752127683734278,NIPAL3
AST,281,0.854901725904155,SRRM1
AST,282,0.858869152515888,CLIC4
AST,285,0.905894082225374,RSRP1
AST,290,0.85037501508301,MAN1C1
AST,310,0.7211608099930478,DHDDS
AST,311,0.714881999974508,HMGN2
AST,313,0.925024936127247,ARID1A
AST,319,0.7422436398900891,NUDC
AST,323,0.7861992239915703,WDTC1
AST,330,0.8776133751941426,WASF2
AST,331,0.9003769013719962,AHDC1
AST,334,0.7322880567600463,FAM76A
AST,335,0.7989517248029625,STX12
AST,341,0.873321225214681,EYA3
AST,346,0.9079244293792333,PHACTR4
AST,348,0.8263633479692274,TRNAU1AP
AST,350,0.7414145907277455,TAF12
AST,353,0.8004935860263869,YTHDF2
AST,355,0.8087161061584446,EPB41
AST,357,0.8954682464667881,SRSF4
AST,358,0.7096471488394764,MECR
AST,363,0.7750787284095038,SDC3
AST,364,0.9051427857504958,PUM1
AST,366,0.7002405461400691,SNRNP40
AST,367,0.7522243214722618,ZCCHC17
AST,373,0.8608950659240275,COL16A1
AST,376,0.7791847716182584,PTP4A2
AST,377,0.8769284737875191,KHDRBS1
AST,379,0.8286244671979898,KPNA6
AST,380,0.7281611038521478,TXLNA
AST,388,0.7454183192019244,HDAC1
AST,392,0.8224950484510785,BSDC1
AST,394,0.8861865242145749,ZBTB8OS
AST,395,0.8454288531019551,RBBP4
AST,398,0.8620146477548912,YARS
AST,399,0.8359410488430481,S100PBP
AST,404,0.7352072032300974,AK2
AST,407,0.7768990722961572,ZNF362
AST,409,0.8129359118182556,PHC2
AST,413,0.7975949405233842,SMIM12
